modalidade,submodalidade,product_group
Adiantamentos a depositantes,Adiantamentos a depositantes,Cheque especial e outros
Direitos creditórios descontados,Antecipação de fatura de cartão de crédito,Cheque especial e outros
Direitos creditórios descontados,Desconto de cheques,Cheque especial e outros
Direitos creditórios descontados,Desconto de duplicatas,Cheque especial e outros
Direitos creditórios descontados,Outros direitos creditórios descontados,Cheque especial e outros
Direitos creditórios descontados,Outros títulos descontados,Cheque especial e outros
Empréstimos,ARO - adiantamento de receitas orçamentárias,Cheque especial e outros
Empréstimos,Capital de giro com prazo de vencimento até 365 dias,Cheque especial e outros
Empréstimos,Capital de giro com prazo de vencimento inferior a 30 d,Cheque especial e outros
Empréstimos,Capital de giro com prazo de vencimento superior a 365 dias,Cheque especial e outros
Empréstimos,Capital de giro com prazo vencim. igual ou superior 30 d,Cheque especial e outros
Empréstimos,Capital de giro com teto rotativo,Cheque especial e outros
Empréstimos,"Cartão de crédito - compra, fatura parcelada ou saque financiado pela instituição financeira emitente do cartão",Cartão
Empréstimos,Cartão de crédito - não migrado,Cartão
Empréstimos,Cheque especial,Cheque especial e outros
Empréstimos,Cheque especial e conta garantida,Cheque especial e outros
Empréstimos,Compror,Cheque especial e outros
Empréstimos,Conta Garantida,Cheque especial e outros
Empréstimos,Crédito pessoal - com consignação em folha de pagam.,Consignado
Empréstimos,Crédito pessoal - sem consignação em folha de pagam.,Pessoal não consignado
Empréstimos,Crédito rotativo vinculado a cartão de crédito,Cartão
Empréstimos,Financiamento de projeto,Cheque especial e outros
Empréstimos,Home Equity,Cheque especial e outros
Empréstimos,Microcrédito,Cheque especial e outros
Empréstimos,Outros empréstimos,Cheque especial e outros
Empréstimos,Recebíveis adquiridos,Cheque especial e outros
Empréstimos,Vendor,Cheque especial e outros
Financiamentos,Aquisição de bens - outros bens,Cheque especial e outros
Financiamentos,Aquisição de bens - veículos automotores,Veículos
Financiamentos,Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão,Cartão
Financiamentos,Compror,Cheque especial e outros
Financiamentos,Financiamento de projeto,Cheque especial e outros
Financiamentos,Financiamentos agroindustriais,Rural
Financiamentos,Microcrédito,Cheque especial e outros
Financiamentos,Outros financiamentos,Cheque especial e outros
Financiamentos,Recebíveis adquiridos,Cheque especial e outros
Financiamentos,Vendor,Cheque especial e outros
Financiamentos com interveniência,Aquisição de bens com interveniência - outros bens,Cheque especial e outros
Financiamentos com interveniência,Aquisição de bens com interveniência - veículos autom.,Veículos
Financiamentos com interveniência,Financiamento de projeto,Cheque especial e outros
Financiamentos com interveniência,Outros financiamentos com interveniência,Cheque especial e outros
Financiamentos de infraestrutura e desenvolvimento,Financiamento de infraestrutura e desenvolvimento,Cheque especial e outros
Financiamentos de títulos e valores mobiliários,Financiamento de TVM,Cheque especial e outros
Financiamentos imobiliários,Financiamento de projeto,Imobiliário
Financiamentos imobiliários,Financiamento habitacional - SFH,Imobiliário
Financiamentos imobiliários,Financiamento habitacional – exceto SFH,Imobiliário
Financiamentos imobiliários,"Financiamento imobiliário - empreendim, exceto habitac.",Imobiliário
Financiamentos rurais (ex-financiamentos rurais e agroindustriais),Comercialização,Rural
Financiamentos rurais (ex-financiamentos rurais e agroindustriais),Custeio,Rural
Financiamentos rurais (ex-financiamentos rurais e agroindustriais),Financiamento de projeto,Rural
Financiamentos rurais (ex-financiamentos rurais e agroindustriais),Industrialização,Rural
Financiamentos rurais (ex-financiamentos rurais e agroindustriais),Investimento,Rural
Financiamentos à exportação,Adiantamento sobre cambiais entregues,Cheque especial e outros
Financiamentos à exportação,Adiantamento sobre contratos de câmbio,Cheque especial e outros
Financiamentos à exportação,Financiamento à exportação,Cheque especial e outros
Financiamentos à exportação,Outros financiamentos à exportação,Cheque especial e outros
Financiamentos à importação,Financiamento à importação,Cheque especial e outros
Operações de arrendamento,Arrendamento financeiro de veículos automotores,Veículos
Operações de arrendamento,Arrendamento financeiro exceto veículos automotores e imóveis,Cheque especial e outros
Operações de arrendamento,Arrendamento operacional,Cheque especial e outros
Operações de arrendamento,Financiamento de projeto,Cheque especial e outros
Outros créditos,Avais e fianças honrados,Cheque especial e outros
Outros créditos,Cartão de crédito - compra à vista e parcelado lojista,Cartão
Outros créditos,Devedores por compra de valores e bens,Cheque especial e outros
Outros créditos,Financiamento de projeto,Cheque especial e outros
Outros créditos,Outros com característica de crédito,Cheque especial e outros
Outros créditos,Recebíveis adquiridos,Cheque especial e outros
Outros créditos,Títulos e créditos a receber,Cheque especial e outros
